
---------- Begin Simulation Statistics ----------
simSeconds                               18446744.073710                       # Number of seconds simulated (Second)
simTicks                                 18446744073709551616                       # Number of ticks simulated (Tick)
finalTick                                18446744073709551616                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     19.27                       # Real time elapsed on the host (Second)
hostTickRate                             957378916172056448                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8577144                       # Number of bytes of host memory used (Byte)
simInsts                                      2221725                       # Number of instructions simulated (Count)
simOps                                        3887312                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   115306                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     201748                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2589470                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5035458                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      976                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        4616117                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3238                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1149121                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1757093                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 126                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2480569                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.860911                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.204167                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1131275     45.61%     45.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    244630      9.86%     55.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    267238     10.77%     66.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    242670      9.78%     76.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    216459      8.73%     84.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    163709      6.60%     91.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    117799      4.75%     96.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     56486      2.28%     98.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     40303      1.62%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2480569                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   46972     65.14%     65.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     65.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     65.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     65.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     65.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     65.14% # attempts to use FU when none available (Count)
