
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007102                       # Number of seconds simulated (Second)
simTicks                                   7101520000                       # Number of ticks simulated (Tick)
finalTick                                  7101520000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1834.32                       # Real time elapsed on the host (Second)
hostTickRate                                  3871468                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9101724                       # Number of bytes of host memory used (Byte)
simInsts                                     52374362                       # Number of instructions simulated (Count)
simOps                                       99952795                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    28552                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      54490                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        14126700                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       29648083                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   70239                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      28111432                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                108161                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4730117                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          6589373                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              41079                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           13821110                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.033949                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.563343                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  7225160     52.28%     52.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   844961      6.11%     58.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   738833      5.35%     63.74% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1045979      7.57%     71.30% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   766354      5.54%     76.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   899674      6.51%     83.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1263219      9.14%     92.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   787672      5.70%     98.20% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   249258      1.80%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             13821110                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1234266     96.96%     96.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     96.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     96.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     96.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     96.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     96.96% # attempts to use FU when none available (Count)
