
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004735                       # Number of seconds simulated (Second)
simTicks                                   4734706000                       # Number of ticks simulated (Tick)
finalTick                                  4734706000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     93.35                       # Real time elapsed on the host (Second)
hostTickRate                                 50721176                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8593524                       # Number of bytes of host memory used (Byte)
simInsts                                     12961815                       # Number of instructions simulated (Count)
simOps                                       24681788                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   138855                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     264407                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          9469413                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        28222436                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    61995                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       26953063                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  40985                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3602637                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5528323                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               33141                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9307435                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.895864                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.534788                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2805159     30.14%     30.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    816005      8.77%     38.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    786132      8.45%     47.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1054150     11.33%     58.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    854748      9.18%     67.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1061038     11.40%     79.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1061606     11.41%     90.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    640250      6.88%     97.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    228347      2.45%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9307435                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  846791     96.42%     96.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     96.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     96.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     96.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     96.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     96.42% # attempts to use FU when none available (Count)
