
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002570                       # Number of seconds simulated (Second)
simTicks                                   2570290000                       # Number of ticks simulated (Tick)
finalTick                                  2570290000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     52.60                       # Real time elapsed on the host (Second)
hostTickRate                                 48867658                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8539212                       # Number of bytes of host memory used (Byte)
simInsts                                      4403247                       # Number of instructions simulated (Count)
simOps                                        8893406                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83717                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     169086                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          5140581                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        16702215                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       67                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14665027                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  92343                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7808870                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           8273495                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   4                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5064449                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.895681                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.858080                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2158757     42.63%     42.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    143199      2.83%     45.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    205796      4.06%     49.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    301505      5.95%     55.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    269837      5.33%     60.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    606323     11.97%     72.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    741906     14.65%     87.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    453686      8.96%     96.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    183440      3.62%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5064449                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  500143     98.61%     98.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.61% # attempts to use FU when none available (Count)
