
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006163                       # Number of seconds simulated (Second)
simTicks                                   6163131000                       # Number of ticks simulated (Tick)
finalTick                                  6163131000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    407.50                       # Real time elapsed on the host (Second)
hostTickRate                                 15124269                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8814332                       # Number of bytes of host memory used (Byte)
simInsts                                     13093343                       # Number of instructions simulated (Count)
simOps                                       24987724                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    32131                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      61319                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         12326263                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        29682220                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    68341                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       28120834                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 111375                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4762822                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6566636                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               39180                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            12050137                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.333653                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.629081                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5530637     45.90%     45.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    784888      6.51%     52.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    710866      5.90%     58.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1040980      8.64%     66.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    764551      6.34%     73.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    899065      7.46%     80.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1257604     10.44%     91.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    800247      6.64%     97.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    261299      2.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              12050137                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1242658     97.13%     97.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     97.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     97.13% # attempts to use FU when none available (Count)
